Issue key,Issue id,Summary,Custom field (Bundle Version),Assignee,Created,Priority,Status,Custom field (Moment ID),Custom field (Linked LSTI/DVTI),Custom field (Linked LSTI/DVTI),Custom field (Linked LSTI/DVTI),Custom field (Linked LSTI/DVTI),Custom field (Linked LSTI/DVTI)
MON-2424848,2602978,隧道内误报施工路段,v0.8.96-adlst-0606.patch.8-irs2-DF_HG01_C_VEHICLE_LYRA,keming.zheng,2024-12-18 11:54 AM,P1,Done,fc7cdb0a-c520-4aa7-9ca4-a67fb9c9ac4f,LSTI-4839,,,,
MON-2424847,2602977,【TSAudio】ALC,v1.0.9-Beta-20240911-64-g2666792d7-irs2-8296a8ac-DF_HG01_C_VEHICLE_LYRA,ruiliang.li,2024-12-18 11:48 AM,P2,Done,db131ada-c761-4c63-991a-94676a1639f1,,,,,
MON-2424846,2602976,【TSAudio】ALC,v1.0.9-Beta-20240911-64-g2666792d7-irs2-8296a8ac-DF_HG01_C_VEHICLE_LYRA,ruiliang.li,2024-12-18 11:48 AM,P2,Done,eac9a282-608d-40a9-abca-700094c77050,,,,,
MON-2424776,2602906,贴线行驶不居中,v0.8.96-adlst-0606.patch.19-irs2-DF_HG01_C_VEHICLE_LYRA,jingpeng.sun,2024-12-18 7:37 AM,P1,Done,6b2b4c4c-7f03-4cf0-aacc-34f4e8dd3989,LSTI-5064,,,,
MON-2424743,2602871,圆通-左侧后向来车不能避让,v0.8.96-adlst-0606.patch.19-irs2-LQ_4H70_B_VEHICLE_LYRA,zhou.yang,2024-12-18 5:50 AM,P1,Done,750b1745-3a8c-41cc-806b-da4a9babc396,,,,,
MON-2424702,2602822,无缘无故踩刹车,v1.0.9-Beta-20240911-64-g2666792d7-irs2-8296a8ac-DF_HG01_C_VEHICLE_LYRA,jingpeng.sun,2024-12-18 12:58 AM,P1,Done,631ae09a-f3d6-49f5-99b9-96344dc149dc,LSTI-4839,,,,
MON-2424688,2602807,司机反馈上坡自动减速降速,v1.0.9-Beta-20240911-64-g2666792d7-irs2-8296a8ac-DF_HG01_C_VEHICLE_LYRA,ruiliang.li,2024-12-18 12:42 AM,P1,Done,1b0ed94b-f0c3-496b-a714-317747998423,,,,,
MON-2424674,2602790,"Lateral error over 40 triggered, error = -0.418908",v1.0.9-p6-Beta-20241204-irs2-FT_ESTN_B_VEHICLE_LYRA,jingpeng.sun,2024-12-18 12:03 AM,P1,Done,77256e8a-e097-497d-84cd-3a2adb068996,LSTI-5080,,,,
MON-2424673,2602789,"Lateral error over 40 triggered, error = 0.402910",v1.0.9-p6-Beta-20241204-irs2-FT_ESTN_B_VEHICLE_LYRA,jingpeng.sun,2024-12-18 12:03 AM,P1,Done,57c29df4-205a-442b-a393-405694cdf338,LSTI-5158,,,,
MON-2424649,2602748,不合理制动 ,v0.8.96-adlst-0606.patch.19-irs2-DF_HG01_C_VEHICLE_LYRA,yuhao.zhao,2024-12-17 10:05 PM,P1,Done,d369c44a-1743-437f-af0a-09dcededf3d0,LSTI-4839,,,,
MON-2424643,2602739,Nudge误触发,v1.0.9-p6-Beta-20241204-2-g87e1938a8-irs2-e3feda82-DF_HG01_C_VEHICLE_LYRA,yuhao.zhao,2024-12-17 9:36 PM,P1,Done,b05d58c7-6eee-4d1c-8d1a-93a4dbf71dc5,LSTI-4839,,,,
MON-2424641,2602737,降档刹车,v1.0.9-p6-Beta-20241204-irs2-LQ_4H70_B_VEHICLE_LYRA,jingpeng.sun,2024-12-17 9:31 PM,P1,Done,a6019d6f-87cb-4eb2-b3ef-ac5b6cbcb6c7,LSTI-5014,,,,
MON-2424640,2602736,正常行驶突然降档,v1.0.9-p6-Beta-20241204-irs2-LQ_4H70_B_VEHICLE_LYRA,ryan.han,2024-12-17 9:28 PM,P1,Done,7c7d04cb-974e-4fcc-9669-dc7d9381c8d8,,,,,
MON-2424601,2602696,(客货分离，2货车车道)目标车辆在左侧车道，我在右侧车道，误识别跟车减速,v1.0.9-p6-Beta-20241204-3-gb1aa9e7de-irs2-ce494e4e-FT_ESTN_B_VEHICLE_LYRA,jingpeng.sun,2024-12-17 9:11 PM,P2,Done,d89fe177-d82f-4448-ac6b-19edfface290,LSTI-5546,,,,
MON-2424544,2602636,正常行驶中突然刹车,v1.0.9-p6-Beta-20241204-irs2-LQ_4H70_B_VEHICLE_LYRA,jingpeng.sun,2024-12-17 7:56 PM,P1,Done,7d2a7855-d35c-464c-b445-a41cce4b534c,LSTI-5014,,,,
MON-2424542,2602634,12档跳到10档,v1.0.9-p6-Beta-20241204-irs2-LQ_4H70_B_VEHICLE_LYRA,ryan.han,2024-12-17 7:53 PM,P1,Done,98c2f469-607f-4a9f-97f8-4b98b9e6492b,,,,,
MON-2424523,2602588,【TSAudio】Fallback,v1.0.9-p6-Beta-20241123-irs2-DF_HG01_C_VEHICLE_LYRA,siyu.zhang,2024-12-17 4:35 PM,P2,Done,2eb30df0-13fc-4d97-9a0f-3c0115f165d1,LSTI-5466,,,,
MON-2424515,2602580,【TSAudio】Fallback,v0.8.96-adlst-0606.patch.10-irs2-DF_HG01_C_VEHICLE_LYRA,jingpeng.sun,2024-12-17 3:34 PM,P2,Done,c570ae29-c966-4f06-807e-d4d47dfc9334,LSTI-4759,,,,
MON-2424512,2602577,【TSAudio】ALC,v1.0.9-Beta-20240911-64-g2666792d7-irs2-8296a8ac-DF_HG01_C_VEHICLE_LYRA,ruiliang.li,2024-12-17 3:33 PM,P2,Done,5cd58ed3-c7d8-4980-bd99-6c195289b3f1,,,,,
